questionnaire_id,stage,n_items,validation_status,cronbach_alpha,deleted_original_items,final_n_items,notes
sec_other_farms,final_2015_annex1,38,not_validated_insufficient_sector_sample,,,38,Sector-specific questionnaire: Granjas — Otras granjas. Thesis states only three company samples per sector-specific questionnaire; no validation performed.
sec_slaughterhouse,final_2015_annex1,52,not_validated_insufficient_sector_sample,,,52,Sector-specific questionnaire: Industria cárnica — Mataderos. Thesis states only three company samples per sector-specific questionnaire; no validation performed.
sec_bovine_slaughterhouse,final_2015_annex1,49,not_validated_insufficient_sector_sample,,,49,Sector-specific questionnaire: Industria cárnica — Mataderos de bovino. Thesis states only three company samples per sector-specific questionnaire; no validation performed.
sec_animal_fats,final_2015_annex1,19,not_validated_insufficient_sector_sample,,,19,Sector-specific questionnaire: Industria cárnica — Fabricación de grasas animales. Thesis states only three company samples per sector-specific questionnaire; no validation performed.
sec_animal_meal,final_2015_annex1,26,not_validated_insufficient_sector_sample,,,26,Sector-specific questionnaire: Industria cárnica — Fabricación de harinas animales. Thesis states only three company samples per sector-specific questionnaire; no validation performed.
sec_cured_meats,final_2015_annex1,21,not_validated_insufficient_sector_sample,,,21,Sector-specific questionnaire: Industria cárnica — Fábrica-secadero de jamones y embutidos. Thesis states only three company samples per sector-specific questionnaire; no validation performed.
sec_ham_warehouse,final_2015_annex1,13,not_validated_insufficient_sector_sample,,,13,Sector-specific questionnaire: Industria cárnica — Almacén de jamones y embutidos. Thesis states only three company samples per sector-specific questionnaire; no validation performed.
sec_slaughter_wastewater,final_2015_annex1,6,not_validated_insufficient_sector_sample,,,6,Sector-specific questionnaire: Industria cárnica — Depuración de aguas residuales procedentes de matadero. Thesis states only three company samples per sector-specific questionnaire; no validation performed.
sec_cutting_butcher,final_2015_annex1,10,not_validated_insufficient_sector_sample,,,10,Sector-specific questionnaire: Industria cárnica — Salas de despiece y carnicerías. Thesis states only three company samples per sector-specific questionnaire; no validation performed.
sec_clinical_labs,final_2015_annex1,62,not_validated_insufficient_sector_sample,,,62,"Sector-specific questionnaire: Laboratorios — Clínicos, veterinarios y de diagnóstico. Thesis states only three company samples per sector-specific questionnaire; no validation performed."
sec_research_labs,final_2015_annex1,73,not_validated_insufficient_sector_sample,,,73,Sector-specific questionnaire: Laboratorios — Investigación. Thesis states only three company samples per sector-specific questionnaire; no validation performed.
sec_biotech_labs,final_2015_annex1,59,not_validated_insufficient_sector_sample,,,59,Sector-specific questionnaire: Laboratorios — Biotecnológicos. Thesis states only three company samples per sector-specific questionnaire; no validation performed.
sec_waste_maintenance,final_2015_annex1,19,not_validated_insufficient_sector_sample,,,19,Sector-specific questionnaire: Plantas de tratamiento de residuos — Mantenimiento. Thesis states only three company samples per sector-specific questionnaire; no validation performed.
sec_waste_treatment,final_2015_annex1,9,not_validated_insufficient_sector_sample,,,9,Sector-specific questionnaire: Plantas de tratamiento de residuos — Planta de tratamiento de residuos. Thesis states only three company samples per sector-specific questionnaire; no validation performed.
sec_compost,final_2015_annex1,11,not_validated_insufficient_sector_sample,,,11,Sector-specific questionnaire: Plantas de tratamiento de residuos — Plantas de compostaje. Thesis states only three company samples per sector-specific questionnaire; no validation performed.
sec_food,final_2015_annex1,33,not_validated_insufficient_sector_sample,,,33,Sector-specific questionnaire: Industria alimentaria — Industria alimentaria. Thesis states only three company samples per sector-specific questionnaire; no validation performed.
sec_vet_general,final_2015_annex1,51,not_validated_insufficient_sector_sample,,,51,Sector-specific questionnaire: Centros veterinarios — Servicios generales. Thesis states only three company samples per sector-specific questionnaire; no validation performed.
sec_vet_personnel,final_2015_annex1,80,not_validated_insufficient_sector_sample,,,80,Sector-specific questionnaire: Centros veterinarios — Personal veterinario. Thesis states only three company samples per sector-specific questionnaire; no validation performed.
