run_id,case_id,preventive_actions_score,preventive_actions_reason,traceability_coherence_score,traceability_coherence_reason,adjudicator_id,adjudication_status
O1_ERBB-P03_C1_R01,ERBB-P03,,,,,,PENDING
O1_ERBB-P03_C2_R01,ERBB-P03,,,,,,PENDING
O1_ERBB-P03_C3_R01,ERBB-P03,,,,,,PENDING
O2_ERBB-P01_C1_R01,ERBB-P01,,,,,,PENDING
O2_ERBB-P01_C2_R01,ERBB-P01,,,,,,PENDING
O2_ERBB-P01_C3_R01,ERBB-P01,,,,,,PENDING
O2_ERBB-P02_C1_R01,ERBB-P02,,,,,,PENDING
O2_ERBB-P02_C2_R01,ERBB-P02,,,,,,PENDING
O2_ERBB-P02_C3_R01,ERBB-P02,,,,,,PENDING
O2_ERBB-P03_C1_R01,ERBB-P03,,,,,,PENDING
O2_ERBB-P03_C2_R01,ERBB-P03,,,,,,PENDING
O2_ERBB-P03_C3_R01,ERBB-P03,,,,,,PENDING
O3_ERBB-P01_C1_R01,ERBB-P01,,,,,,PENDING
O3_ERBB-P01_C2_R01,ERBB-P01,,,,,,PENDING
O3_ERBB-P01_C3_R01,ERBB-P01,,,,,,PENDING
O3_ERBB-P02_C1_R01,ERBB-P02,,,,,,PENDING
O3_ERBB-P02_C2_R01,ERBB-P02,,,,,,PENDING
O3_ERBB-P02_C3_R01,ERBB-P02,,,,,,PENDING
O3_ERBB-P03_C1_R01,ERBB-P03,,,,,,PENDING
O3_ERBB-P03_C2_R01,ERBB-P03,,,,,,PENDING
O3_ERBB-P03_C3_R01,ERBB-P03,,,,,,PENDING
G3_ERBB-P04_C1_R01,ERBB-P04,,,,,,PENDING
G3_ERBB-P04_C2_R01,ERBB-P04,,,,,,PENDING
G3_ERBB-P04_C3_R01,ERBB-P04,,,,,,PENDING
M2_ERBB-P04_C1_R01,ERBB-P04,,,,,,PENDING
M2_ERBB-P04_C2_R01,ERBB-P04,,,,,,PENDING
M2_ERBB-P04_C3_R01,ERBB-P04,,,,,,PENDING
M3_ERBB-P04_C1_R01,ERBB-P04,,,,,,PENDING
M3_ERBB-P04_C2_R01,ERBB-P04,,,,,,PENDING
M3_ERBB-P04_C3_R01,ERBB-P04,,,,,,PENDING
