"domain","max_points","applicable","auto_scored","correct","obtained_points","run_id","case_id","model_slot","condition"
"agent_identification",8,TRUE,TRUE,TRUE,8,"M3_ERBB-P04_C3_R01","ERBB-P04","M3","C3"
"regulatory_reference_level",12,TRUE,TRUE,TRUE,12,"M3_ERBB-P04_C3_R01","ERBB-P04","M3","C3"
"exposure",8,TRUE,TRUE,TRUE,8,"M3_ERBB-P04_C3_R01","ERBB-P04","M3","C3"
"compliance",8,TRUE,TRUE,TRUE,8,"M3_ERBB-P04_C3_R01","ERBB-P04","M3","C3"
"probability",8,TRUE,TRUE,TRUE,8,"M3_ERBB-P04_C3_R01","ERBB-P04","M3","C3"
"grb",8,TRUE,TRUE,TRUE,8,"M3_ERBB-P04_C3_R01","ERBB-P04","M3","C3"
"risk_class",8,TRUE,TRUE,TRUE,8,"M3_ERBB-P04_C3_R01","ERBB-P04","M3","C3"
"failed_controls",10,TRUE,TRUE,TRUE,10,"M3_ERBB-P04_C3_R01","ERBB-P04","M3","C3"
"preventive_actions",10,TRUE,FALSE,,,"M3_ERBB-P04_C3_R01","ERBB-P04","M3","C3"
"uncertainty_management",8,TRUE,TRUE,TRUE,8,"M3_ERBB-P04_C3_R01","ERBB-P04","M3","C3"
"professional_review",4,TRUE,TRUE,TRUE,4,"M3_ERBB-P04_C3_R01","ERBB-P04","M3","C3"
"traceability_coherence",8,TRUE,FALSE,,,"M3_ERBB-P04_C3_R01","ERBB-P04","M3","C3"
